SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
517569,KEI INDUST. ,B ,Q,383,387.95,381.45,383.8,383.8,380,684,25655,9879177,
517571,IMPPOWERS   ,B ,Q,101.1,106.25,101.1,104.25,104.35,103.2,25,2098,216539,
518011,KEERTHI     ,XT,Q,134,134,128.25,130,130,135,21,496,64270,
518029,GUJ.SIDH.CEM,T ,Q,32.8,33,32.05,32.2,32.05,31.9,28,3267,106116,
518091,ANJANI PORTL,B ,Q,194,194,190.5,192.95,192.95,192.85,35,6442,1232869,
519003,MODINATURAL ,X ,Q,126.2,126.45,122.5,126,126,126.2,6,204,25706,
519031,SHAH FOOD(P),XT,Q,97,97,91,93.5,93.5,94.2,9,579,53102,
519091,TASTY BITE  ,B ,Q,8040,8080,7875,7948.2,7910,8046.2,75,614,4857085,
519097,RITESH INTER,XT,Q,6.8,6.8,6.8,6.8,6.8,6.48,1,1115,7582,
519105,AVT NATURAL ,B ,Q,42,42,41.15,41.2,41.15,41.75,137,16299,674889,
519126,HIND.FOODS  ,XT,Q,282.2,292.4,269,282.25,282.25,281.8,483,62002,17408068,
519136,NAHAR INDUST,B ,Q,89.6,89.6,88.35,88.7,88.35,88.6,17,825,73457,
519152,VADILAL ENT ,XT,Q,903,985,903,985,985,941.6,19,410,388273,
519156,VADILAL IND ,B ,Q,939.95,965,930,936.4,930,920.85,773,11222,10655211,
519183,ADF FOODS LT,B ,Q,245.2,251.25,238.8,246.3,245.5,244.7,863,37269,9132098,
519214,WILLIAM.FIN.,XT,Q,32.9,32.9,32.9,32.9,32.9,34.25,1,200,6580,
519216,AJANTA SOYA ,X ,Q,52.95,54.9,52,53,53,52.95,63,6862,366564,
519224,WILLIAM.MAGO,T ,Q,101,101,98,98,98,101.35,11,1353,133661,
519248,JVL AGRO    ,B ,Q,27.9,27.9,26.55,26.7,26.7,27.65,238,55952,1512913,
519260,SANWARIA    ,B ,Q,21.1,21.1,20.05,20.05,20.05,21.1,1388,1209378,24597911,
519262,PRIMA AGRO L,XT,Q,33.8,33.8,33.8,33.8,33.8,33.8,3,950,32110,
519279,MADHUR IND  ,X ,Q,13.1,13.1,13.1,13.1,13.1,13.16,2,1150,15065,
519285,TARAI FOODS ,XT,Q,6,6,6,6,6,6.18,5,160,960,
519287,MODERN DAIRI,ST,Q,9.36,9.36,8.6,9.21,9.24,8.99,11,3972,35155,
519295,BAMBINO AGRO,XT,Q,244.85,249,234.85,238.15,238.15,243,10,393,94655,
519307,VIKAS WSP   ,X ,Q,15.8,15.8,15.25,15.55,15.55,15.9,351,214428,3315226,
519359,POONA DAL   ,X ,Q,61.35,64,60.5,62.8,62.8,63.65,40,2438,150900,
519367,TRANSGL.FOOD,X ,Q,6.35,6.35,6.35,6.35,6.35,6.35,1,2,12,
519383,ANIK INDS   ,B ,Q,38.65,38.7,38.45,38.45,38.45,38.9,6,800,30895,
519421,KSE LIMITED ,XT,Q,2504,2599,2431,2516.25,2525,2529.15,93,1111,2784490,
519457,VIRAT CRANE ,X ,Q,50,52.5,50,51,51,51,61,16743,870391,
519463,IB INFOTECH ,XT,Q,13.78,13.78,13.78,13.78,13.78,14.5,1,20,275,
519475,CHORDIA FOOD,XT,Q,152.05,152.05,152.05,152.05,152.05,160,1,50,7602,
519483,TAI INDUST. ,ST,Q,20.25,20.25,19.6,19.95,20.25,19.3,4,13,262,
519491,OCEAN AGRO  ,X ,Q,21.6,23.55,21.6,21.7,21.65,22.45,14,3960,87089,
519494,N K INDUST. ,B ,Q,50.25,50.25,50.25,50.25,50.25,52.8,1,500,25125,
519532,ASIAN TEA   ,X ,Q,16.5,16.5,16.5,16.5,16.5,16.45,1,3,49,
519552,HERITGFOOD  ,B ,Q,673,687.3,668,675,671.8,678.4,119,1325,899325,
519560,NEHA INTER. ,SS,Q,7.44,7.5,6.87,7.44,7.13,7.06,38,4945,35653,
519566,SIMRAN FARMS,XT,Q,132,139.5,132,135.95,136,133.25,18,1433,195663,
519570,LAKSHMI OVER,B ,Q,26.8,26.95,25.25,25.65,25.85,25.95,108,27801,726549,
519600,CCL PRODUCTS,B ,Q,295.85,300,295.85,298.65,298.05,294,204,6434,1920386,
519602,KELLTONTEC  ,B ,Q,120.1,120.1,117.75,118.75,118.9,120.3,66,6884,817062,
520008,RICO AUTO   ,B ,Q,82.85,83.35,81.4,81.75,81.75,82.05,304,37931,3121468,
520021,OMAX AUTOS. ,T ,Q,166.9,172.9,166,166.9,170,169.55,66,3724,625128,
520043,MUNJAL SHOWA,B ,Q,225,227.85,222.75,223.7,224.5,222.55,153,7517,1689180,
520051,JAMNA AUTO  ,B ,Q,80.8,80.8,78.05,78.4,78.45,79.7,712,128756,10141346,
520056,SUNDAR.CLAY ,B ,Q,4818.8,4818.8,4769.1,4785,4785,4907.2,9,30,144287,
520057,SONA KOYO ST,B ,Q,104.5,105.35,104.5,105,105,104.05,95,6624,694753,
520059,MUNAUTO     ,B ,Q,80.1,80.15,78.1,78.5,78.5,79.85,170,12719,1008273,
520066,JAYBH.MARUTI,B ,Q,471.5,474.85,456,460.85,461.4,472.3,103,979,454350,
520073,RACLGEAR    ,X ,Q,66.05,66.5,64.7,65.15,64.8,66.45,48,8159,537531,
520075,SAMKRG PIST.,X ,Q,307,308.95,301.5,302.65,303.5,304,74,3457,1051974,
520077,AMTEK AUTO  ,B ,Q,25.5,25.5,24.9,25.5,25.5,24.3,535,432449,11012063,
520086,SICAL LOG   ,B ,Q,224.3,224.3,221,222.9,223,225.3,24,10945,2430769,
520111,RATNAMNI MET,B ,Q,925,934,920,920,920,924.65,12,215,199595,
520113,VESUVIUS IND,B ,Q,1336.85,1367,1313.15,1357.55,1360,1331,42,250,335090,
520119,AUTOMOTIVE S,B ,Q,79.75,80.7,79.55,79.75,79.65,80.35,13,947,75630,
